epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.07,1.32999,1.39434,1.00829,0.68195,0.64784,0.63309,0.3622,1.23,0.98159,0.98678,0.00041387,0.00041387,0.00041387
2,580.861,1.30115,1.05572,0.96959,0.70783,0.66554,0.66902,0.39776,1.17199,0.82615,0.98097,0.000814092,0.000814092,0.000814092
3,897.35,1.23974,0.86488,0.97167,0.63939,0.74858,0.70429,0.44387,1.12234,0.7941,0.96235,0.00119781,0.00119781,0.00119781
4,1212.09,1.25998,0.84994,0.98002,0.73143,0.73178,0.73013,0.41593,1.19225,0.73837,1.00124,0.00117575,0.00117575,0.00117575
5,1524.71,1.24532,0.82578,1.00688,0.65727,0.63752,0.69652,0.40666,1.10736,0.81012,0.97388,0.001151,0.001151,0.001151
6,1838.92,1.16964,0.80188,0.9728,0.77731,0.62249,0.69324,0.42336,1.09673,0.69109,0.96976,0.00112625,0.00112625,0.00112625
7,2158.1,1.11083,0.66839,0.94359,0.85286,0.75852,0.81104,0.50448,1.07101,0.58389,0.9563,0.0011015,0.0011015,0.0011015
8,2540.47,1.10343,0.6159,0.95481,0.84767,0.79715,0.80465,0.4965,1.0895,0.54482,0.94894,0.00107675,0.00107675,0.00107675
9,2919.92,1.16617,0.62782,0.94239,0.89409,0.71847,0.8017,0.48425,1.1053,0.60104,0.96525,0.001052,0.001052,0.001052
10,3299.99,1.12564,0.63022,0.92952,0.81722,0.80153,0.82414,0.51636,1.0614,0.5573,0.95712,0.00102725,0.00102725,0.00102725
11,3679.87,1.08574,0.61314,0.94624,0.9014,0.74014,0.82533,0.52453,1.04894,0.54917,0.94356,0.0010025,0.0010025,0.0010025
12,4061.49,1.08969,0.59166,0.92158,0.83662,0.81606,0.84678,0.5326,1.0681,0.52581,0.94705,0.00097775,0.00097775,0.00097775
13,4442.29,1.06827,0.56622,0.92304,0.92055,0.7499,0.82605,0.52408,1.03938,0.51636,0.93198,0.000953,0.000953,0.000953
14,4821.52,1.04268,0.53147,0.91471,0.85845,0.83431,0.85981,0.5498,1.02666,0.49628,0.92996,0.00092825,0.00092825,0.00092825
15,5201.41,1.02017,0.51519,0.90823,0.92913,0.80872,0.85762,0.53916,1.04595,0.48651,0.93231,0.0009035,0.0009035,0.0009035
16,5586.95,1.02135,0.52233,0.89994,0.89173,0.84688,0.86403,0.55025,1.03362,0.49087,0.92909,0.00087875,0.00087875,0.00087875
17,5968.51,1.02132,0.50875,0.91143,0.89471,0.8508,0.87019,0.56083,0.99977,0.47079,0.92368,0.000854,0.000854,0.000854
18,6348.46,0.97554,0.48944,0.91615,0.89084,0.78682,0.84285,0.52982,1.01811,0.49474,0.92931,0.00082925,0.00082925,0.00082925
19,6727.51,0.9996,0.5032,0.91532,0.88527,0.81764,0.86558,0.56234,0.98936,0.46416,0.92769,0.0008045,0.0008045,0.0008045
20,7110.32,0.97745,0.50424,0.90008,0.84668,0.83774,0.85718,0.54947,0.98531,0.48923,0.9233,0.00077975,0.00077975,0.00077975
21,7492.82,0.97124,0.50194,0.90659,0.88487,0.85229,0.8554,0.55224,0.97466,0.46649,0.92061,0.000755,0.000755,0.000755
